video id,start,end,action label
1,0,40,bounce
1,40,68,step
1,68,114,bounce
1,114,125,half_squat
1,125,140,bounce
1,140,160,twist
1,160,170,bounce
1,170,220,step
1,220,245,bounce
1,245,260,step
1,260,290,cabbage_patch
1,290,328,bounce
1,328,360,hands_up
1,360,368,bounce
1,368,405,slide_step
1,405,455,step
2,0,40,bounce
2,40,68,step
2,68,114,bounce
2,114,125,half_squat
2,125,140,bounce
2,140,160,twist
2,160,170,bounce
2,170,220,step
2,220,245,bounce
2,245,260,step
2,260,290,cabbage_patch
2,290,328,bounce
2,328,360,hands_up
2,360,368,bounce
2,368,405,slide_step
2,405,455,step
3,0,40,bounce
3,40,68,step
3,68,114,bounce
3,114,125,half_squat
3,125,140,bounce
3,140,160,twist
3,160,170,bounce
3,170,220,step
3,220,245,bounce
3,245,260,step
3,260,290,cabbage_patch
3,290,328,bounce
3,328,360,hands_up
3,360,368,bounce
3,368,405,slide_step
3,405,455,step
4,0,40,bounce
4,40,68,step
4,68,114,bounce
4,114,125,half_squat
4,125,140,bounce
4,140,160,twist
4,160,170,bounce
4,170,220,step
4,220,245,bounce
4,245,257,step
4,257,270,cabbage_patch
4,270,307,bounce
4,307,338,hands_up
4,338,348,bounce
4,348,370,slide_step
5,0,40,bounce
5,40,68,step
5,68,114,bounce
5,114,125,half_squat
5,125,140,bounce
5,140,160,twist
5,160,170,bounce
5,170,213,step
5,213,235,bounce
5,235,250,step
5,250,280,cabbage_patch
5,280,320,bounce
5,320,350,hands_up
5,350,360,bounce
5,360,395,slide_step
5,395,442,step
6,0,30,twist
6,30,40,bounce
6,40,90,step
6,90,118,bounce
6,113,160,cabbage_patch
6,118,133,step
6,160,199,bounce
6,199,258,hands_up
6,258,265,bounce
6,265,297,slide_step
6,297,343,step
7,0,40,bounce
7,40,68,step
7,68,114,bounce
7,114,125,half_squat
7,125,180,twist
7,180,190,bounce
7,190,245,step
7,245,270,bounce
7,270,284,step
7,284,300,cabbage_patch
7,300,342,bounce
7,342,372,hands_up
7,372,380,bounce
7,380,420,slide_step
7,420,466,step
8,0,40,bounce
8,40,68,step
8,68,114,bounce
8,114,125,half_squat
8,125,160,twist
8,160,170,bounce
8,170,220,step
8,220,245,bounce
8,245,260,step
8,260,290,cabbage_patch
8,290,328,bounce
8,328,360,hands_up
8,360,368,bounce
8,368,405,slide_step
8,405,455,step
9,0,38,bounce
9,38,70,hands_up
